,IT skills
15521, Familiarity with Transportation and Logistics Operations
15522, Maintaining Administrative Records
15523, Shipping Coordination
15524, Warehousing procedures
15525,Business Intelligence/Analytics projects management
15526, OBI
15527, Cloud-based Development
15528,Program coordination
15529, WebLogic and Oracle OEM Management
15530, Oracle Data Guard
15531,Database architecture
15532, Learning to rank
15533, Management Coaching
15534, Quality initiatives
15535, Windows Phone)
15536, Monitoring software
15537, Hack
15538, Facebook Business Manager API
15539, TxDOT Bridge Design Manual (LRFD)
15540, REDCap
15541, Mathematical and statistical skills
15542, Markov Chains
15543, Prediction systems
15544, Prototyping languages
15545, PostGIS
15546, Microsoft Excel (formulas
15547, Applications Management
15548,Customer Success Management
15549, Data Coordination
15550, quantitative analysis
15551, Marketing Data Analysis
15552, Amazon Aurora)
15553, Troubleshooting database integrity and performance issues
15554,Database administration
15555, Locking mechanisms
15556, Local Area Network
15557, Commercial Sales
15558, Rubicon Atlas Curriculum Mapping
15559, Utilizing Sales Tools
15560, ETL tools like Talend
15561, Mock-up creation
15562, D/3D CAD software
15563, Preventative Maintenance
15564, Semiconductor manufacturing
15565, P&L management
15566, Data gathering methods assessment
15567, Machine learning algorithm development
15568, Streaming data technologies (Kafka
15569, cloud-based data analytic technologies
15570, Security and Encryption
15571,Administrative procedures
15572, Elastic Search)
15573, Help Desk Operations
15574, Customer Focus
15575,Deep learning
15576, Predictive Modeling Algorithms
15577, Merchandising standards maintenance
15578, Java or Python development
15579, Enterprise Asset Management (EAM)
15580, Competitive Analysis
15581, Transportation design tools (JDA
15582,Research Methods
15583, UX Design
15584, Proficiency in writing SQL queries
15585, Data tracking and monitoring tools
15586, Workflow Manager)
15587, Quality Management using Business Process Improvement (BPI) or Six Sigma
15588, Data collection for analytics
15589, Database storage structures
15590, IBM DB2
15591, New Technologies Evaluation
15592, Deep learning framework design
15593,selling products and services
15594,Distributed Systems
15595, Real-time analytics on Elastic search
15596, Typing and 10-key proficiency
15597, ETLs and data federation pipelines
15598, Software performance analysis
15599, Experience with DCIM tools
15600, Quality Assurance Time and Cost Estimation
15601,Community outreach
15602, Business requirements understanding
15603, Quality assurance participation
15604, Using postage meter
15605, ISO certifications
15606, Healthcare Effectiveness Data Information Set (HEDIS)
15607, Advanced Tableau Topics
15608, ETL frameworks
15609, Responsive web and mobile applications
15610, Advanced Analytical Skills
15611, Data manipulation/transformation
15612, Report/Dashboard Development
15613, Enterprise Information Architecture
15614, User Behavior Metrics
15615, Network devices configuration and troubleshooting
15616,Understanding of building construction and condition
15617, Instructional Technology
15618, REST/JSON
15619, SOP development
15620, Industry standards knowledge (ASME
15621, Regulatory Compliance Knowledge
15622, MS-Office suite proficiency
15623, Enterprise modeling standards
15624, Data Visualization (Tableau)
15625, ETL Processing
15626, SMOKE
15627, Microsoft Business intelligence tools
15628, Structural equation modeling
15629, Mapping Software (Tableau)
15630, Big Data technologies/platforms
15631, Lean/Six-Sigma
15632, Entity Hierarchies
15633, Data process
15634," all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in """"2"""" above. Two years as a City Research Scientist Level I can be substituted for the experience required in """"1"""" and """"2"""" above. NOTE: Probationary Period Appointments to this position are subject to a minimum probationary period of one year. Preferred Skills 1\. Extensive experience analyzing and identifying appropriate business solutions to meet operational needs"
15635,Category Management
15636, Analytical abilities
15637, Cognos maintenance
15638, Database backup procedures
15639, Reporting techniques
15640, Configuration/patch management
15641, Support Dashboards Creation
15642, Educational content development
15643, Craft CMS
15644, REST Services
15645, Painting
15646, NetApp)
15647, Strong SQL/RDS
15648, Data modules design and development
15649, Compliance/Process Auditing
15650, record
15651,Quality Assurance
15652, Failure Analysis (FA)
15653,**Technical Skills**:
15654, Data cleanup/improvement
15655,Data science
15656, Large-scale databases
15657, Data validation and analysis
15658, Statistical languages (R
15659, Report/Visualization Design
15660, Medical Information Analysis
15661, Warehousing
15662,eCommerce
15663, as is expertise in either R or Python. Experience in Tableau is a plus Education: A B.S. in mathematics
15664, Experience in a similar role
15665, Virtual server computing systems
15666, Version control systems usage
15667, LAMP environment
15668, Test script documentation and execution
15669, Automation of database maintenance processes
15670, Cycle counts
15671, Basic functionality testing of consumer electronics and appliances
15672, DNN Training Frameworks (Caffe
15673, Maintaining cleanliness of fryers and equipment
15674,Computer repair
15675, Disease-State and Competitor Knowledge
15676, Malware infections
15677, MetaMask
15678, Mutation testing
15679, Scala or Java programming
15680, HL7 healthcare data exchange standards
15681, Familiarity with common systems tools and protocols
15682, Creating
15683,Data structures
15684, Documentation production
15685,APQP/PPAP/FMEA
15686, Statistical methods and models
15687, Large-scale distributed data-processing frameworks (Apache Spark
15688, Data-driven research
15689, Interactive visualization tools
15690, Warehouse Operations
15691,Supply inventory management
15692, Customer trend analysis
15693, Forecast modeling
15694, and Implementation
15695, Data Guard)
15696, Storage knowledge
15697, Database structure knowledge
15698, Educational Equity
15699, Marketing & Sales Fundamentals
15700, Backend development best practices
15701, Feature development
15702, Product monitoring
15703, Data integration from diverse storage systems
15704, Storage archive systems
15705, 3DES
15706, Programming in MATLAB
15707, Collaborative technologies support
15708, Google Analytics API
15709, Identification of issues
15710, Trackwise
15711, Template creation
15712, Experiment design and evaluation
15713, Acoustic scattering modeling
15714, Google Cloud AI
15715, PC software
15716, Distributed System
15717, Tactics
15718, DoD situational awareness tools
15719, SAS or R
15720, Network design tools (Llamasoft
15721, Health Care Delivery System Processes
15722, Ability to develop analytical methodologies
15723, Knowledge of shipping rules and requirements
15724,Data warehouse technical specifications
15725, NLU/NLP engines
15726, Product lifecycle management
15727, Strategic analysis
15728, Open Source database technology
15729, Real Estate Principles
15730, MedCredentials
15731, Common data structures and algorithms
15732, Product capabilities
15733, SoC
15734, MRP systems (SAP)
15735, Unit testing in JavaScript
15736, Graph data analysis
15737, Data systems design
15738, Six Sigma Green Belt or Black Belt
15739, Quality Audit Management
15740, Information Systems Knowledge
15741, Proof-of-Concept Prototyping
15742, IMDS
15743, Data Model/Architecture
15744, Material Handling Equipment (MHE)
15745, Backend data engineering
15746, Cloud technologies (AWS)
15747, Relational and Dimensional Modeling
15748, Property management
15749, Life science/pharma industry knowledge
15750, Project Tracking Tools
15751, Measurement Metrics
15752, Negotiating
15753, Value management techniques
15754, Transform and Load tools
15755, System integrity
15756, Entity relationship diagrams
15757, BI tools optimization
15758, Communications skills
15759, Instructional Leadership
15760, Powernet
15761, dask
15762, Experience in developing online training modules
15763, External Audit Hosting
15764, (k)
15765, Staff recruitment and supervision
15766, Monte Carlo
15767, Clear and concise report preparation
15768, Crystal Report
15769, Source control systems
15770, Data Visualization Tools (e.g.
15771, or Keras
15772, ISO 14001
15773, Warehouse Processes
15774, Bill of Materials (BOM) creation and maintenance
15775, Microsoft Navision database
15776, and design and implement new services that can be provided to our graduate students accordingly. Oversee admissions and recruitment for the Division of Science graduate programs. Participate in the admissions process by acting as a liaison between applicants/prospective students
15777, HA and DR for SQL Server
15778, Data Comparison
15779, Database patches
15780, DBCC commands
15781, Analytics/data expertise
15782, JSS
15783, Microsoft SQL Stack
15784, Feature extraction
15785, Quality System Requirements
15786, ) Performance Monitoring
15787, QSI
15788, Database tools (R
15789, Bayesian networks
15790, Metrics Definition
15791, C-TPAT Procedures
15792, BI tool querying
15793, Reporting system development
15794, Large data
15795, Troubleshooting Database Performance
15796, lawful permanent residents of the U.S.
15797, and upgrading MySQL databases
15798, Public Relations
15799, Batch and Real-Time Model Scoring
15800, Webservices - SOAP
15801, Prototype testing
15802, Data exfiltration techniques
15803, Scale
15804, Customer relations
15805, Cloud Technologies (AWS S3
15806, ARIS
15807, Data privacy
15808, Data exploration
15809, Statistical Models
15810, Healthcare Services Research
15811, Enterprise server CMMS experience
15812, Negotiation Skills
15813, Evaluation Planning
15814, MarTech/AdTech platforms
15815, Evaluation and implementation of new database management and security tools
15816,Inventory maintenance
15817, Computational technologies (linear mixed models
15818, Survey Design and Analytics
15819, Financial performance analysis
15820, Talent Management
15821, OSGi
15822, Power supply systems
15823, PC skills (Microsoft Office
15824, Product Development Process (PDP)
15825, Tools and techniques utilization
15826, Scientific principles
15827, Exploratory data analysis
15828, Data pipelines/ETL processes
15829, Data visualization/BI software (Tableau
15830, Data cleansing routines
15831, Scientific computing
15832, Environment) Compliance
15833, Distribution system
15834, Scripting Languages (Python
15835, WMS (Warehouse Management System) knowledge
15836, Experience with warehouse and inventory management systems (e.g.
15837, Creating SQL queries
15838, Hardware and software upgrades
15839, Teradata Active System Management (TASM)
15840, Picking and packing
15841, Disease State and Neuroscience Market Knowledge
15842, Content strategy
15843, Ant
15844, Source Control Tools
15845, Maintaining and repairing applications
15846, Utilization of Practice Technology
15847, PCQI Certification
15848, Project management methodologies
15849, Business Operations Management
15850, Data science techniques
15851, Parscale)
15852, HTTPS)
15853, Kimball Data Warehousing
15854, Oracle Exadata
15855, ETL processes management
15856, Google Tag Manager
15857, Provider Contracting
15858,MS SQL Server
15859, Security monitoring
15860, Database management software
15861, Completing paperwork
15862, Spring and Hibernate
15863, Maintenance and repair procedures
15864, Data Centers
15865, Surveillance case investigation
15866, Fiber Optic Technology
15867, Time-Series Data Modeling
15868, Client interfacing skills
15869, Dashboard Analytics
15870, Data software proficiency
15871, Single Sign-On (SSO) experience
15872,HR Data Management
15873, so objects can be shared for all environments (Dev
15874, Good Manufacturing Practices (GMP)
15875, Data lake implementations
15876, Stock replenishment
15877, or any state or local department
15878, Proficiency in creating spreadsheets with formulas
15879, Behavioral segmentation
15880, Database marketing
15881, V2I Application Knowledge
15882, Health care trends research
15883, MS Excel proficiency
15884,Lab operations experience
15885, Expertise in multiple RDBMS technologies
15886,Microsoft SQL Server 2012
15887, Content Marketing
15888,Genomic technologies (RNA-seq
15889, E-Learning Platforms
15890, Supporting Windows and Mac environments
15891,HTML5/AngularJS
15892, Scalable Architectures
15893, RUBY on Rails
15894, Laboratory procedures adherence
15895,Data product development
15896, AQL Audits
15897, Legal Compliance
15898, Software development life cycles
15899, eTMF and Records Management
15900, Data Science Models
15901, Topic Modeling
15902, Teradata)
15903, ArcGIS Desktop
15904, Metrics infrastructure development
15905, Data pipeline systems
15906, Powered industrial lift operation
15907, SQL (DML / DDL)
15908, Experience with ticketing software
15909,Modern office methods and equipment including computer terminal and micro-computer usage and word processing applications.
15910, RNN
15911,Fleet Management
15912, Development of individualized therapy programs
15913, Apache Spark tuning and performance optimization
15914,QA methodology and tools
15915, Electronic Data Exchanges
15916, Data visualization APIs (D3
15917, Mathematical and statistical concepts
15918, Modeling strategies
15919, Transportation & warehouse management systems
15920, Programming (R or Python)
15921, C-TPAT
15922, TPM (Total Productive Maintenance)
15923, Multidimensional models
15924, Fundraising
15925, Transition Management
15926,Data validation and mapping
15927, Longitudinal patient data analysis
15928, Experience with SAS
15929, Large Data Sets
15930, Energy market fundamentals
15931, Lexis-Nexis)
15932, publishing
15933,SQL Server tools
15934, Conducting deep dives to understand root causes of customer contacts
15935, Consumer electronics products/services
15936, Data Stage
15937, Big Data (Hadoop
15938,Photochemical modeling
15939, Presenting results
15940, Microsoft Visual Studio 2012 and above
15941, JDA
15942, ) Data Replication
15943,JDA (Warehouse Management System)
15944, Statistical Packages (R
15945, Performance indicators
15946, Scripting languages (Python)
15947,Multi-Modal Transportation Planning
15948, Vendor negotiations
15949, Data compliance
15950, XGBoost)
15951, Malware and security protection
15952, Cursors
15953, SQL Server Clusters
15954, Software Correctness
15955, Digital content optimization
15956, Process/Equipment Qualifications
15957, Adobe Experience Manager
15958, Data onboarding
15959, Iterative
15960, Supplier Quality Management
15961, Data Architecture standards
15962, Unstructured data analysis
15963, SIRI
15964, Image processing using Python and OpenCV
15965, Data warehouse architecture
15966, CPT codes)
15967, Postgres database
15968, Multi-touch attribution
15969, formulas)
15970, GitHub or other version control platforms
15971, ITIL/ASL
15972, Data privacy and data governance processes
15973, Back Testing
15974, Financial Modelling
15975, market research
15976, lookups
15977, Database query writing
15978, Database auditing
15979, Maintaining External Website
15980, Database clustering
15981,Proficiency with Microsoft Office: Word and Excel
15982, NLP Datasets
15983, Natural Language Understanding (NLU)
15984, EMC
15985, implementation
15986, Issue tracking
15987, Biostatistics
15988, Data set building
15989,Analytics
15990, Semi-structured data
15991, quality history reviews
15992, CRM administration
15993, SFDC)
15994, Tagging operations
15995,Analytics program management
15996, Micro Business Development Strategy
15997, Record keeping principles and procedures; business accounting and mathematics; acceptable business and office etiquette.
15998, Yardi)
15999, Windows Desktop Operating Systems
16000, Yardi
16001, CRM Usage
16002,Social media engagement
16003, Educational technology implementation
16004, Java 8 Features (Streams or Lambda)
16005, Website performance optimization tools (e.g.
16006, and documentation -Business process redesign -User test cases development -System integration testing -Problem resolution -End User Training -Technical design for features and modules -Hardware and software research -Server technology maintenance and performance enhancement -Patch
16007, Network Topology
16008, and storage issues
16009, D Occupancy Grids
16010, infection control
16011, Exploratory Data Analysis
16012, MDM Tools (Siperian/Informatica MDM
16013, User behavior analysis
16014, Domo)
16015, Large-scale high-performance distributed systems
16016,Proficiency in Microsoft Office and Outlook
16017, Inventory reports
16018, Information Technology Support
16019, transfers
16020, Microsoft Office Outlook
16021, D and 3D design
16022, Schema design and data modeling
16023, Data center documentation maintenance
16024, Quality control and quality assurance processes
16025, Risk-Based Reviews
16026, Professional development planning
16027, Using shrink-wrap machine
16028, Corrective action implementation
16029,Data Quality Testing
16030, Utilization Management
16031, Data and statistical analysis
16032, Stored procedures
16033, Vendor compliance
16034, System Platform Monitoring
16035, InnoDB administration
16036, Fundraising Progress Tracking
16037, Large-scale system engineering
16038, Relational DBMS (e.g. PostgreSQL
16039,Packaging R&D
16040, Structured and unstructured dataset evaluation
16041, Pre-award surveys
16042,Quality Management Systems Integration
16043,Skill Type:
16044, Media Mix Modeling
16045, Data Driven Attribution
16046, Large scale data manipulation and mining/pattern recognition
16047, Fiscal analysis
16048, IBM Initiate/MDM
16049, Metadata Sources
16050, Software Development Principles
16051, FHIR)
16052, Software Maintenance
16053, MRP
16054,Blending Operations
16055, Warehousing Operations
16056, University recruiting
16057, Data aggregation strategies
16058, Big Data Methodology
16059, Landing pages optimization
16060, Proficiency in Social Emotional Learning (SEL) surveys
16061, T-SQL and/or PL/SQL
16062, Data hygiene and integrity management
16063, single cell RNA-seq)
16064, Interpersonal relationship skills
16065, Java w/Spring
16066, Testing frameworks and practices
16067, Switched FibreChannel fabrics
16068, Cell Therapy Manufacturing
16069, Customer Journey Analytics
16070, Quantitative research data analysis
16071, Online Auctions
16072, D XML
16073, Data Quality tools (Informatica Data Quality (IDQ) and Informatica Developer)
16074, Bachelor’s Degree
16075,Optimal assortment management
16076, Monitoring of server infrastructure systems
16077, Capacity and Performance Analysis
16078, RAC components
16079, Operating systems knowledge
16080, MySQL/Oracle
16081, Insurance certificate collection
16082, Technology/IT experience/education
16083, Fieldwork
16084, Interpretation of regulations
16085, Testing (TDD
16086, IT resource management
16087, Project Quality Plan Review
16088, ML frameworks (e.g.
16089, Programming (especially Python)
16090, Environmental research
16091,Data ingestion
16092,Business Intelligence Solutions Delivery
16093, Azure or Other Cloud Services
16094, Query tools
16095, Overtime Management
16096, Statistical Knowledge
16097, ETL/Data pipelines development
16098, Python (numpy
16099, Agile Framework (SAFE)
16100, Data Warehouses/Data Marts
16101, SQL enterprise management tools and utilities
16102, Operations Quality and Process Improvement
16103, CPU and/or GPU architecture
16104, GPU architectures
16105, Technology education
16106, Practice Workflow Understanding
16107, IAM products
16108, HTML5/CSS3/JavaScript
16109, Druid)
16110, Greenhouse maintenance
16111, Quality issue resolution
16112, AASHTO standards
16113, Microsoft data assets/systems
16114, Ability to create and edit written communication
16115, Unique CRFs
16116,Manufacturing Quality Engineering
16117, Strong analytical/problem-solving skills
16118, Modeling software (Matlab
16119, modeling strategies
16120, Supervised/Unsupervised/Semi-supervised/Reinforcement learning
16121,Concept of Operations (ConOps)
16122, PyMC)
16123,Programming skills
16124, JT
16125, Microstrategy)
16126, Machinery operations
16127, SAP Power Designer
16128, structured and unstructured data analysis
16129, R Programming Language
16130, Salesforce Krux
16131, Application software technology consulting
16132, Database maintenance and data processing automation
16133, Legal agreements
16134, iStar System
16135, KPI development and tracking
16136, Stocking merchandise on the sales floor
16137, Microsoft certifications or relevant technology/IT education
16138, Microsoft tools and resources
16139, Supervised and Unsupervised Learning
16140, Processing orders
16141, Replenishment
16142, Mobile Application Development (iOS
16143, Testing data interpretation
16144, Lab-scale testing
16145, Maintenance execution
16146, Machine Learning Models
16147, Understanding data flow and integration
16148, Maestro MDS)
16149, SQL/No-SQL databases
16150, bills of lading
16151, Programming (C++
16152, System Development Life Cycle (SDLC)
16153, Data integrity management
16154, Data-driven insights
16155, Digital and Social Media Insights
16156, Statistical Software Proficiency (SAS
16157, Statistical/mathematical software (e.g. SAS
16158, Oracle and/or MSSQL instances administration
16159,Budget administration
16160, Capacity and performance monitoring
16161, Multi-disciplined teams
16162,Troubleshooting client-side network connectivity
16163, WebKit (Browser tech)
16164, Swift
16165, Comprehensive AV deployments support
16166, Knowledge of new technology developments
16167, Cisco Certifications
16168, Research Conduct
16169, Corrective Action
16170, Responsive UI applications
16171, Parallel Databases (Redshift
16172, Scoping
16173, Typing speed of 50wpm
16174, Data Reporting Tools
16175, Managing multiple priorities
16176, data collection
16177, Relational and columnar database stores
16178, Palantir
16179, Database Configuration
16180, Monitoring and Troubleshooting Database Instances
16181, CRM Platform
16182, Monitoring database logs
16183, Linux systems knowledge
16184, Technology Solutions
16185, Component-based applications
16186, Speed optimization
16187, REST/SOAP APIs
16188, DoIP
16189, Unix tools and shell scripts
16190,Networking troubleshooting
16191, Kafka/Storm data pipelines
16192, OSHA guidelines
16193, nd line of defense monitoring
16194, Audio/video data streaming
16195, Architecture Principles
16196, Smart Manufacturing
16197, Spark MLib
16198, and export declarations
16199, Materials Requirements Planning (MRP) tools
16200, Metadata
16201, Data Debugging
16202, BI reporting
16203, UPS shipments processing
16204,Qualitative and quantitative research
16205, Industry benchmark analysis
16206, Administrative Tasks
16207, HBSS
16208, Data replication
16209, Video production crew experience
16210, Creative development
16211, Logistical skills
16212, Pipeline management
16213, Loading merchandise onto trucks
16214, JavaScript/TypeScript
16215, Expression Engine)
16216, Distributed data processing systems
16217, Backend Development
16218, Workflow Language
16219, Printing specifications
16220, VMware desktop products experience
16221,Quality Management System
16222, Inspection Procedures
16223, Gauge R&R
16224, Database programming (MS SQL
16225, Bash)
16226, you may contact IonE directly at ione@umn.edu . To request an accommodation during the application process
16227, mlpack)
16228, Excel proficiency (pivot tables
16229, Ensemble models (e.g.
16230, Research methodologies
16231, Deep learning models
16232, DCGs)
16233, Modern OO language (e.g.
16234, Storage monitoring tools
16235, Developing integration solutions for Teamcenter
16236, Information analytics
16237, Distributed Storage and Database
16238, Data & Analytics Platform Strategy
16239, Customer Segmentation
16240,App-Cloud Services
16241, Pricing strategies
16242, Tag management platforms
16243, and Report Builder
16244, Microsoft applications (Word
16245,Contractual requirements
16246, Direct outreach
16247, Brand building
16248, RDBMS modeling
16249, Engineering Best Practices
16250, Data warehouses and ETL/ELT processes
16251, Cisco Nexus 7000
16252, Data deep dives
16253, UltiPro Payroll system knowledge
16254, Discharge Planning
16255, Process capability analysis
16256," all candidates must have at least one year of experience as described in """"1"""" above. Preferred Skills The successful candidate should possess the following: Strong quantitative and problem-solving skills; experience with empirical methods and data analytics including working with large"
16257, Strong collaboration and communications skills
16258, Graph Theory
16259, Value Analysis
16260, Flow practices
16261, Supervisory/management
16262, schema design and optimization)
16263, Coding Terminologies
16264, Quality control implementation
16265, Equipment repairs
16266, data pipelines
16267, Customer Feedback Analysis
16268, Consumer marketing insights analysis
16269, Open data
16270, Database utilization analysis
16271, Relational databases understanding
16272, DBMS platform knowledge
16273, Verbal & Written Communication
16274, State and federal codes
16275, Operating equipment in the distribution center
16276, SOP Adherence
16277,Critical thinking skills
16278, Adverse Event Reporting
16279, Managing a client-facing team
16280, Hot Mix Asphalt (HMA) Testing
16281,Fleet management
16282, Front-end development
16283, Analyzing large data sets
16284, Tool deployment
16285, Civil engineering
16286, Business Rules
16287, System-level development
16288, Data migration and scripting
16289, Reporting and analysis
16290,Container tracking
16291, Uncertainty Analysis
16292, Cash Flow Forecasting
16293,Leadership
16294, Math and Statistics
16295, Database technologies (Oracle
16296, Training and Support
16297,Data interpretation
16298, Packages
16299,Raiser's Edge Database Management
16300, In-Memory Data Structures
16301, Continuous integration/deployment tools (Jenkins
16302, SQL/RDBMS
16303, Web Programming
16304, IBM Web Content Manager
16305, Version Control Systems (SVN
16306, Remote Management Systems
16307, Homegrown)
16308,Big data technologies
16309, Two-sided markets
16310, Behavioral Science
16311, gradient boosting)
16312, statistical modeling
16313, BI Visualization
16314, Data ETLs
16315, Labor Management Systems
16316, Image Search and Selection
16317, Writing reports and technical documents
16318, RDBMS technologies
16319, h2o)
16320, BI reporting capabilities
16321, Data Analysis Methodologies
16322, DevOps exposure (Jenkins
16323, Oracle BlueKai
16324, Query Tuning
16325, Oracle RDBMS maintenance
16326, Consumer electronics
16327, Knowledge of Windows OS
16328,Game design
16329, Utilization of sales tools
16330, Proficient in using relevant company resources
16331, Native mobile development
16332, REST-based application development
16333, Automotive Diagnostics
16334, Web application frameworks (e.g.
16335, Spark/Hadoop cluster management
16336, Systems theory
16337, FCA Technologies
16338, Network implementation knowledge
16339, Flume)
16340, KPI development
16341,Product planning and execution
16342,Sales leadership
16343, Metrics tracking
16344,Viral vector production
16345, Distributional Semantics
16346, data exploration)
16347, GPU Accelerated OLAP Database
16348, Semantic Composition
16349, Modeling Techniques
16350, Debugging and Optimization
16351, Extending Teamcenter services
16352, Algorithmic techniques
16353, LEAN Manufacturing
16354, Index Design
16355, Managing user access
16356, Application design using database management systems
16357, Systems experience in a hospital business office
16358, Adobe After Effects
16359, Cross-functional Coordination
16360, GPU architecture
16361, Measurement of success metrics
16362, Material-UI
16363, Financial services/mathematically oriented applications
16364, Enterprise Service Bus
16365, Deployment Efficiency
16366,HR Information Systems (HRIS)
16367, Database systems
16368, Mathematical Modeling
16369, Cosmos)
16370, Microsoft Azure ecosystem
16371, Technological Enhancements
16372, Category Insights
16373,Data Management Platform
16374, Database Documentation
16375, Claim filing and investigation
16376,DBMS software development life cycle
16377, Proof of concepts (POC’s)
16378, Database mirroring
16379, exploring and learning about new products and solutions
16380, Web portals
16381, Client services
16382, Addressing issues with mobile devices
16383, Business communication
16384, Sails.js
16385, TDD tools (NUnit/MS tests/SOAPUI/Run Scope)
16386, Axway
16387, Fire alarm systems
16388, Spark Structured Streaming
16389, AWS Data warehouses (Redshift etc.)
16390, ASME BPE
16391, Probabilistic Environment Representation
16392, Software documentation
16393, Knowledge of data analysis and intervention strategies
16394, Documentation writing
16395, Continuous Learning and Knowledge Building
16396, Communication facilitation
16397, Research data management
16398, Quality systems implementation
16399, SLAs
16400, Big Data technologies (Cassandra
16401, Experience mapping RFI/RFP requirements to software solutions
16402,Data Analyst
16403, Data Extract
16404, Understanding team metrics and taking actions based on trends
16405,Windows Defender Advanced Threat Protection (WDATP)
16406, Java (understanding)
16407, Service Level Objectives monitoring
16408, Data engineering project execution
16409, UML diagramming
16410, Microsoft Azure ML
16411, AWS Core Services (S3
16412, Search engines
16413, Test script writing
16414, Risk evaluation
16415, SQL Queries
16416, subtraction
16417, API Connections
16418, Proficiency in applying statistical/machine learning methods in the real world
16419, Methods development for pest detection and inspection
16420, Big data systems (COSMOS
16421, API Gateway
16422, Apache Spark/SparkML
16423, Data Cleanup
16424, Client-facing experience
16425, Analytical Problem-Solving
16426, Management principles
16427, Reporting Implementation
16428, Complete Streets Design
16429, Service Cloud
16430, Monitoring and Troubleshooting
16431, Microsoft System Center Configuration Manager
16432, Database optimization and tuning
16433, Healthcare Billing Knowledge
16434, Constraints
16435, JAMF Casper Suite
16436,Territory Management
16437, Darknet
16438, HIPPA
16439, DC rectifiers
16440, Data archiving systems
16441, Elastic search analytics
16442, Reporting Tools (e.g.
16443, Salesforce proficiency
16444, Ability to fill out production records and reports
16445, Plotly
16446,Modern JavaScript standards
16447, Experiment Design
16448, Dashboarding tools (Tableau
16449, Unstructured data
16450, Dashboard and visualization software (Tableau
16451, User research
16452, Supply procurement
16453, Extract Transform Load (ETL) applications
16454, Data modeling (Conceptual
16455, Media Planning
16456, Informatica DQ
16457, Data collection tools
16458, Forecasting Models
16459, Development and testing of complex server system environments
16460, Content development
16461, Sales tools utilization
16462, Packing and shipping products
16463, Farm machinery operation
16464, Machine Learning (ML) and Data Science
16465, Real-Time Analytics
16466, Test management
16467, Food safety
16468, Master Data Management (MDM)
16469, Multi-Variate Statistical Modeling
16470, Data schema design
16471, Predictive analytics systems
16472, Multitasking
16473,Business Intelligence/Analytics
16474, Google Website Optimizer
16475, MS Active Directory
16476, Maintain database performance and capacity planning
16477, Sales Cloud
16478, Distributed data management
16479, Planogram implementation
16480, Technical engagement
16481, Marketing communication
16482, Product Portfolio Promotion
16483, Attention/Selective execution
16484, Server-side coding
16485, CANalyzer)
16486, MatLab
16487, Carpentry
16488, Fabric Inspections
16489, GCPs
16490, FTA
16491, ETL data processing pipelines
16492, Information delivery
16493, MES (Manufacturing Execution System)
16494, Financial Data Analysis
16495,Food Safety
16496, SCRUM or other agile methodologies
16497, Production Management
16498, Legal translation for data policies
16499, Microsoft Office Programs (Word
16500, Configuration of business processes and workflow
16501, Software Engineering Practices
16502, Oracle RAC/RAC1
16503, 2016 Enterprise and Azure
16504, Video diarization
16505, Mobile Development Lifecycle
16506, Angular 4/5
16507, Trees
16508,SSRS
16509, Moodle
16510, CAPA Investigations
16511, Standard CRFs
16512, IFS)
16513, Data operations coordination
16514, Regulatory Compliance Oversight
16515, and editing documents
16516, WebFocus)
16517, Statistical or mathematic modeling
16518, Risk modeling
16519, Data standardization
16520, Data scraping
16521, Data visualization and BI platforms (Tableau or Domo)
16522, OMOP CDM and OHDSI Methods
16523, OneNote
16524, Knowledge of Microsoft Office (Outlook
16525, Analysis tools (R/Matlab)
16526, Consumer's path to purchase journey analysis
16527, Data processing system
16528, OBIEE)
16529, SCCM
16530, Database Integration
16531, Querying and Reporting
16532, Value-Based Selling
16533, Lua
16534, Payment Transactions
16535, User Interface Development
16536, JSP)
16537, AWS (Kinesis
16538, Gaussian processes
16539, Big data processing
16540, Nonconformance Trend Assessment
16541, Ability to script
16542, Edit Check Specifications
16543, Texas Commission on Law Enforcement Standards and Education
16544, Networking concepts
16545, Coding (MATLAB
16546, USPS regulations
16547, Experience in SQL
16548, Graphical models
16549, Visibility Tools
16550, organizing
16551,Marketing analytics
16552, Healthcare data and workflows (HL7
16553, Data science platforms
16554, Development of processes and procedures
16555, Shipping and Receiving
16556, Material handling equipment operation
16557, Modern
16558, Reporting and analytical skills
16559, managed care
16560, Hardware and software implementation
16561, Handling customer issues
16562, Box
16563, Technical Requirements Translation
16564, Performance Evaluation
16565, Protocol Management
16566,Data quality testing
16567, Development of KPIs and KRIs
16568, Pattern Recognition
16569, Business glossary development
16570, business
16571, Storage networks
16572, Relational Data
16573, Operating forklifts
16574, Kanban or Scrum
16575, Job Documentation Management
16576, Optimization testing
16577, Product Roadmapping
16578, Captioning
16579,Education program development
16580, Development of major application features
16581, Open Source work management tools (JIRA
16582, User Experience Development
16583, Command Line Tools
16584, Geospatial environment
16585, SHA)
16586, Microsoft .Net suite
16587, Data Compilation and Maintenance
16588, Designing and implementing relational databases
16589, Design Data Interpretation
16590, Value stream mapping
16591, Presentation of data
16592, Machine Learning Techniques
16593, SQL programming language
16594, QlikView or Qlik Sense
16595, Business Analytical skills
16596, or other mathematical fields
16597, E-commerce
16598, SQL fluency
16599, optimization methods
16600, Compensation Structure Design
16601, Hyperion and Essbase
16602, or 12c
16603, and DeployStudio
16604, Museum pedagogy
16605, Python Development
